title,video_category,tags,views,likes,dislikes
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",98378,4035,495
Train Swipes Parked Vehicle,Automotive/Vehicle,"2017|""viralhog""|""Crash""|""Fail""|""Featured""|""train""|""swipe""|""crashes""|""destroy""|""destroys""|""vehicle""|""parked""|""car""|""truck""|""Vietnam""|""accident""|""collision""|""trending""",7265,89,8
Caterham Chris Hoy 60 Second Donut Challenge,Automotive/Vehicle,"Caterham|""Chris Hoy""|""Caterham Seven""|""Avon Tyres""|""Caterham 7""|""Seven 620R""|""Caterham 620R""",4850,22,1
Inside Keanu Reeves' Custom Motorcycle Shop | WIRED,Automotive/Vehicle,"keanu reeves|""keanu""|""the matrix""|""john wick""|""john wick 2""|""arch motorcycles""|""krgt-1""|""motorcycle""|""harley""|""chopper""|""norton""|""triumph""|""virtual reality""|""vr""|""htc vive""|""augmented realty""|""design""|""california cruiser""|""arch s1""|""arch 143""|""keanu reeves motorcycle""|""keanu reeves vr""|""vive""|""keanu motorcycle""|""keanu reeves cool""|""wired""|""arch""|""gard hollinger""|""keanu reeves interview""|""keanu reeves nice""|""bike""|""custom bike""|""custom motorcycle""|""oculus""|""motorcycle building""|""wired.com""",704363,16352,224
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",341074,10915,1915
Evolution of the Jeep 4x4 Utility Vehicle | Donut Media,Automotive/Vehicle,"Jeep|""jeep wrangler""|""jeep 4x4""|""jeep cj""|""cj-7""|""cj-5""|""jeep renagade""|""wrangler""|""off-roading""|""four wheel drive""|""4x4""|""lifted truck""|""utility vehicle""|""military vehicle""|""rock crawling""|""desert racing""|""camping vehicle""|""jeep sahara""|""lifted jeep""|""mudding""|""sand dunes""|""hunting""|""fishing""|""camping""|""classic car""|""evolution""",93829,2229,36
Train Swipes Parked Vehicle,Automotive/Vehicle,"2017|""viralhog""|""Crash""|""Fail""|""Featured""|""train""|""swipe""|""crashes""|""destroy""|""destroys""|""vehicle""|""parked""|""car""|""truck""|""Vietnam""|""accident""|""collision""|""trending""",55140,136,14
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",549044,16946,2438
Evolution of the Jeep 4x4 Utility Vehicle | Donut Media,Automotive/Vehicle,"Jeep|""jeep wrangler""|""jeep 4x4""|""jeep cj""|""cj-7""|""cj-5""|""jeep renagade""|""wrangler""|""off-roading""|""four wheel drive""|""4x4""|""lifted truck""|""utility vehicle""|""military vehicle""|""rock crawling""|""desert racing""|""camping vehicle""|""jeep sahara""|""lifted jeep""|""mudding""|""sand dunes""|""hunting""|""fishing""|""camping""|""classic car""|""evolution""",120697,2376,38
Train Swipes Parked Vehicle,Automotive/Vehicle,"2017|""viralhog""|""Crash""|""Fail""|""Featured""|""train""|""swipe""|""crashes""|""destroy""|""destroys""|""vehicle""|""parked""|""car""|""truck""|""Vietnam""|""accident""|""collision""|""trending""",100120,154,15
"The Crazy 5,000hp Devel Sixteen is REAL! | FIRST LOOK",Automotive/Vehicle,"Devel|""Sixteen""|""Devel Sixteen""|""Hypercar""|""Drag Racer""|""5000hp""|""Crazy""|""Fast""|""Ridiculous""|""Insane""|""Dubai""|""UAE""|""Motorshow""|""Launch""|""Premiere""|""Dubai Motorshow""|""DIMS""|""Exclusive""|""Introduction""|""Intro""|""V16""|""5000bhp""|""Fastest""|""Top Speed""|""Record""|""Shmee""|""Shmee150""",298744,5906,444
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",952966,28677,3540
Evolution of the Jeep 4x4 Utility Vehicle | Donut Media,Automotive/Vehicle,"Jeep|""jeep wrangler""|""jeep 4x4""|""jeep cj""|""cj-7""|""cj-5""|""jeep renagade""|""wrangler""|""off-roading""|""four wheel drive""|""4x4""|""lifted truck""|""utility vehicle""|""military vehicle""|""rock crawling""|""desert racing""|""camping vehicle""|""jeep sahara""|""lifted jeep""|""mudding""|""sand dunes""|""hunting""|""fishing""|""camping""|""classic car""|""evolution""",130950,2448,39
"The Crazy 5,000hp Devel Sixteen is REAL! | FIRST LOOK",Automotive/Vehicle,"Devel|""Sixteen""|""Devel Sixteen""|""Hypercar""|""Drag Racer""|""5000hp""|""Crazy""|""Fast""|""Ridiculous""|""Insane""|""Dubai""|""UAE""|""Motorshow""|""Launch""|""Premiere""|""Dubai Motorshow""|""DIMS""|""Exclusive""|""Introduction""|""Intro""|""V16""|""5000bhp""|""Fastest""|""Top Speed""|""Record""|""Shmee""|""Shmee150""",362775,6411,499
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",1384436,39121,4882
Evolution of the Jeep 4x4 Utility Vehicle | Donut Media,Automotive/Vehicle,"Jeep|""jeep wrangler""|""jeep 4x4""|""jeep cj""|""cj-7""|""cj-5""|""jeep renagade""|""wrangler""|""off-roading""|""four wheel drive""|""4x4""|""lifted truck""|""utility vehicle""|""military vehicle""|""rock crawling""|""desert racing""|""camping vehicle""|""jeep sahara""|""lifted jeep""|""mudding""|""sand dunes""|""hunting""|""fishing""|""camping""|""classic car""|""evolution""",136837,2504,39
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",831968,3925,221
Small Truck VS  Strong Wind,Automotive/Vehicle,"2017|""trending""|""Featured""|""Trucks""|""viralhog""|""Weather""|""Croatia""|""windy""|""small""|""truck""|""strong""|""driving""|""blow""",12212,4,1
"The Crazy 5,000hp Devel Sixteen is REAL! | FIRST LOOK",Automotive/Vehicle,"Devel|""Sixteen""|""Devel Sixteen""|""Hypercar""|""Drag Racer""|""5000hp""|""Crazy""|""Fast""|""Ridiculous""|""Insane""|""Dubai""|""UAE""|""Motorshow""|""Launch""|""Premiere""|""Dubai Motorshow""|""DIMS""|""Exclusive""|""Introduction""|""Intro""|""V16""|""5000bhp""|""Fastest""|""Top Speed""|""Record""|""Shmee""|""Shmee150""",415473,6763,542
"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",Automotive/Vehicle,"carmax|""lamborghini miura""|""miura carmax""|""lamborghini carmax""|""took lamborghini to carmax""|""supercar carmax""|""selling my car at acrmax""|""lambo carmax""|""stradman""|""vehicle virgins""|""doug demuro""",1579188,42376,5665
FIA GT World Cup 2017. Qualification Race Macau Grand Prix. Huge Pile Up,Automotive/Vehicle,"GT Series|""Qualification Race""|""Macau Grand Prix""|""FIA GT World Cup""|""Pile Up""|""traffic jam""|""start""|""1st lap""|""big crash""|""carnage""|""racing""|""wtf""|""Circuito da Guia""|""Sports car racing""|""Guia Circuit""|""Macau Peninsula""|""Macau (China)""|""#MacauGP""|""red flag""|""Hiroki Yoshimoto""|""Chaz Mostert""|""Fabian Plentz""|""Robin Frijns""|""Darryl O'Young""|""Romain Dumas""|""Mirko Bortolotti""|""Marco Wittmann""|""Renger Van der Zande""|""Felix Rosenqvist""|""Lucas di Grassi""|""#GTWorldCup""|""Meanwhile at Macau""|""Macau street circuit""",1992282,10103,629
