title,video_category,tags,views,likes,dislikes
"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",Howto/Style,"refinery29|""refinery 29""|""r29""|""r29 video""|""video""|""refinery29 video""|""female""|""empowerment""|""house tour""|""sweet digs""|""new york city""|""apartment decor""|""interior design""|""home tour""|""big apple""|""real estate""|""apartment""|""new apartment tour""|""bedroom tour""|""new apartment""|""house tour 2017""|""living room""|""living room decor""|""walk through""|""nyc apartment""|""new house""|""kitchen tour""|""modern home""|""decorating on a budget""|""my new house""|""moving out""|""video blog""|""manhattan""|""NY""|""central park""",145921,1707,578
A Smart... MUG?! - Take apart a Heated Thermos!,Howto/Style,"Smart mug|""Heated thermos""|""tech""|""gift idea""|""unboxed""|""Ember mug""|""ember""|""Ember review""|""Heated mug""|""teardown""|""technology""|""Thermous""|""winter""|""holiday""|""christmas""|""gift""|""mug""|""unboxing""",120727,9033,224
iPhone X vs Makeup Transformation (Face ID TEST),Howto/Style,"iphone x|""iphonex makeup""|""iphonex test""|""new iphone""|""iphone vs makeup""|""face id""|""face id test""|""iphone x challenge""|""iphone hack""|""iphone x makeup tutorial""|""makup tutorial""|""2017 makeup""|""promise phan""|""twins face id""|""twins iphonex""|""iphonex face""|""iphonex review""",1456472,33505,1660
John Lewis Christmas Ad 2017 - #MozTheMonster,Howto/Style,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",7224515,55681,10247
A VERY #EXTRA EBAY SHOPPING HAUL!,Howto/Style,"ebay|""haul""|""cheap""|""challenge""|""extra""|""amber scholl""|""online""|""shopping""|""try on""|""2017""|""CLOTHES""|""shoes""",484185,23296,1184
EXTREME GOLDEN TAN TRANSFORMATION,Howto/Style,"Extreme Tan|""Tanning""|""Tanning Bed""|""How to get best Tan""|""Black to White""|""White To Tan""|""How to apply fake tan""|""Tanning Routine""|""Best fake tan""|""How to tan faster in the sun""|""How to make tan last""|""tanned skin""|""tan makeup""",300617,8133,2693
Inside the Cheese-Aging Caves 30 Feet Under Brooklyn | I Got a Guy | Bon Appétit,Howto/Style,"cave|""cheese""|""goat""|""rind""|""sheep's milk""|""crown finish caves""|""brooklyn""|""crown heights""|""aging cheese""|""affinage""|""artisanal food""|""benton brown""|""how to age cheese""|""cheese aging""|""cheese caves""|""how cheese is made""|""how to make cheese""|""how cheese is aged""|""cheese recipe""|""cheese making""|""best cheese""|""cheeses""|""how cheese aging works""|""cheese is aged""|""i got a guy""|""food""|""bon appetit""|""bon appétit""",92523,2323,40
ICE PRIMER? DOES IT WORK?!,Howto/Style,"ice primer|""beauty hack""|""weird beauty hack""|""ice under foundation""|""pore minimizer""",103927,3571,278
How To Dry a Shirt in 30 Seconds,Howto/Style,"how to dry a shirt in 30 seconds|""how to dry a shirt""|""life hack""|""how to quickly dry clothing""|""how to dry a shirt fast""|""quickly dry clothes""|""quickly dry clothing""|""dry a shirt fast""|""howtobasic""",2063667,98804,11682
Surprise After Surprise | October Vlog,Howto/Style,"jenn im|""jenn im vlog""|""imjennim""|""october vlog""|""monthly vlog""|""ben jolliffe""|""birthday vlog""|""surprise vlog""|""los angeles""",247319,10138,153
