title,video_category,tags,views,likes,dislikes
Marshmello - Blocks (Official Music Video),Music,"marshmello|""blocks""|""marshmello blocks""|""blocks music video""|""marshmello music video""|""roblox bully story""|""marshmello alone""|""roblox""|""cuphead""|""marshmello nightcore""|""marshmello musically""|""music for kids""|""happy music""|""videos that make you happy""|""sad songs""|""childrens music""|""joytime""|""marshmello joytime""|""frat bro""|""band""|""high school""|""crush""|""mellogang""",687582,114188,1333
Eminem - Walk On Water (Audio) ft. Beyoncé,Music,"Eminem|""Walk""|""On""|""Water""|""Aftermath/Shady/Interscope""|""Rap""",17158531,787419,43420
Hunter Hayes - You Should Be Loved (Part One Of Pictures),Music,"Hunter|""Hayes""|""you should be loved""|""the shadowboxers""|""pictures""|""part one""|""official""|""music video""|""trilogy""|""hunter hayes""|""wanted""|""i want crazy""|""storm warning""",13917,1318,24
Nickelback - The Betrayal Act III [Official Video],Music,"Nickelback|""Feed The Machine""|""The Betrayal Act III""|""The Betrayal""|""Rock""|""Alternative""|""Anthem Films""|""Kevin Slack""|""Chad Kroeger""|""Ryan Peake""|""Mike Kroeger""|""Daniel Adair""|""How You Remind Me""|""Rockstar""",57169,6927,161
U2 - The Blackout,Music,"U2|""The""|""Blackout""|""Island""|""Records""|""Rock""",60506,5389,106
Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,Music,"matthew santoro facts|""music video""|""matthew santoro""|""Ellevan""|""EllevanMusic""|""HumbleThePoet""|""Humble The Poet""|""FACTS""|""whats that facts""",328330,15186,15448
"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",Music,"Jennifer Lopez ft. Wisin|""Jennifer Lopez ft. Wisin Music""|""Jennifer Lopez ft. Wisin Official Video""|""Jennifer Lopez ft. Wisin Video""|""Jennifer Lopez ft. Wisin Video Oficial""|""Jennifer Lopez ft. Wisin Nuevo Video""|""Jennifer Lopez ft. Wisin New Video""|""Amor""|""Amor Official Video""|""Official Video""|""Amor Single""|""Single""|""Jennifer Lopez ft. Wisin New Single""|""Jennifer Lopez ft. Wisin Single""|""Jennifer Lopez ft. Wisin Amor""|""Jennifer""|""Lopez""",9548677,190083,15015
G-Eazy - The Plan (Official Video),Music,"BPG/RVG/RCA Records|""G-Eazy""|""Rap""|""The Plan""",2642930,115795,3055
Ed Sheeran - Perfect (Official Music Video),Music,"edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""",33523622,1634124,21082
Foster The People - Sit Next to Me (Official Video),Music,"Foster|""The""|""People""|""Sit""|""Next""|""to""|""Me""|""(Vertical""|""Video)""|""Columbia""|""Alternative/Indie""",303956,18603,585
Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video),Music,"Jason Derulo|""French Montana""|""Pop""|""Other""|""Tip Toe""|""Official Music Video""|""Jason Desrouleaux""",1282413,37669,1732
