title,video_category,tags,views,likes,dislikes
Why the rise of the robots won’t mean the end of work,News/Politics,"vox.com|""vox""|""explain""|""shift change""|""future of work""|""automation""|""robots""|""jobs""|""technological unemployment""|""joss fong""|""heidi shierholz""|""martin ford""|""rise of the robots""|""humans""|""workers""|""employment""|""economics""|""macroeconomics""|""silicon valley""|""basic income""",256426,12654,1363
Which Countries Are About To Collapse?,News/Politics,"nowthis|""nowthis world""|""world news""|""nowthis news""|""international news""|""countries""|""collapse""|""failing countries""|""war in the world""|""fragile states""|""the fragile states index""|""fund for peace""|""social""|""economic""|""political""|""which countries are failing""|""Central African Republic""|""CAR""|""countries that are sinking""|""countries that are dying""|""countries that are going to disappear""|""Somalia""|""colonization""|""dictatorship""|""south sudan""",544770,7848,1171
LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,News/Politics,auth-jvardon-auth,27943,156,36
Iraq-Iran earthquake: Deadly tremor hits border region - BBC News,News/Politics,"bbc|""bbc news""|""news""|""iran""|""iran news""|""iraq""|""iraq news""|""earthquake""|""breaking news""|""Iraq-Iran earthquake""",34785,308,26
Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,News/Politics,"CBS Sunday Morning|""CBS News""|""news""|""On The Road""|""lin manuel miranda""|""puerto rico""|""hamilton""|""hurricane maria""",6473,205,6
Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17,News/Politics,"KELLYANNE CONWAY ROY MOORE|""KELLYANNE CONWAY ROY MOORE THIS WEEK ABC""|""KELLYANNE CONWAY ROY MOORE THIS WEEK""|""KELLYANNE CONWAY THIS WEEK ABC 11/12/17""|""KELLYANNE CONWAY THIS WEEK ABC""|""KELLYANNE CONWAY""|""ROY MOORE""|""THIS WEEK ABC""|""POLITICS""",9132,21,8
"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",News/Politics,"7.3 magnitude earthquake|""earthquake iraq iran""|""iraq iran earthquake""|""earthquake""|""iraq""|""iran""|""breaking news""|""iraq-iran earthquake""|""pakistan""|""iran earthquake""|""iran news""|""iraq news""|""iran-iraq earthquake""|""iraq earthquake""|""magnitude""|""7.3 magnitude""|""iraq-iran""|""iran iraq earthquake""|""iran iraq border earthquake""|""400 dead iran iraq earthquake""|""Time""|""time magazine""|""magazine""|""time (magazine)""|""time.com""|""news today""|""world news""|""interview""|""science""|""technology""|""health""|""politics""|""entertainment""|""business""",5304,52,13
U.S. Navy Three Carrier Formation in Western Pacific Ocean,News/Politics,"navy|""united states navy""|""us navy""|""military""|""sailors""|""united states""|""america""|""usa""|""usn""|""service members""",105058,493,54
Some NFL players call for an end to Thursday night football after 8 players were injured last week,News/Politics,"seattle|""seahawks""|""richard""|""sherman""|""nfl""|""thursday""|""night""|""football""|""injuries""|""games""|""gma""",7524,67,19
Tesla's biggest problem is one nobody saw coming,News/Politics,"Business Insider|""Tesla""|""Elon Musk""|""Business""|""Sara Silverstein""|""Model 3""|""Battery""|""Gigafactory""",125970,935,507
Pitcher Roy Halladay Dies After Crashing ICON A5 Plane He Promoted in October (File),News/Politics,"news|""viral""|""dramatic""",244532,633,174
Obama arrives for jury duty at Daley Center,News/Politics,[none],33768,426,88
World's first self-driving shuttle crashes on first day of use,News/Politics,"Technology|""self-driving car""|""Las Vegas""|""News""",169511,57,59
Watch live: Sessions testifies to the House Judiciary Committee,News/Politics,"breaking news video|""video updates""|""live video""|""live updates""|""breaking news""|""press conference""|""live speeches""|""real time coverage""|""Jeff Sessions""|""Attorney General Jeff Sessions""|""House Judiciary Committee""|""jeff sessions testimony""|""jeff sessions live""|""jeff sessions live testimony""",137003,580,262
Why the rise of the robots won’t mean the end of work,News/Politics,"vox.com|""vox""|""explain""|""shift change""|""future of work""|""automation""|""robots""|""jobs""|""technological unemployment""|""joss fong""|""heidi shierholz""|""martin ford""|""rise of the robots""|""humans""|""workers""|""employment""|""economics""|""macroeconomics""|""silicon valley""|""basic income""",635985,20721,2417
