title,video_category,tags,views,likes,dislikes
2 Weeks with iPhone X,Science/Tech,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",119180,9763,511
5 Ice Cream Gadgets put to the Test,Science/Tech,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",817732,23663,778
The New SpotMini,Science/Tech,"Robots|""Boston Dynamics""|""SpotMini""|""Legged Locomotion""|""Dynamic robot""",75752,9419,52
HomeMade Electric Airplane,Science/Tech,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",97007,11963,36
The Making of Hela's Headdress from Thor: Ragnarok,Science/Tech,"tested|""testedcom""|""designercon 2017""|""preview""|""toys""|""props""|""costumes""|""ironhead studio""|""marvel""|""thor""|""thor 3""|""thor ragnorok""|""thor ragnarok""|""hela""|""helmet""|""cosplay""|""headdress""|""costume""",224019,3585,138
78557 and Proth Primes - Numberphile,Science/Tech,"numberphile|""prime numbers""|""proth prime""",80705,4687,41
The Super Google Pixel 2 Camera Upgrade!,Science/Tech,"Google|""Pixel 2""|""Pixel 2 XL""|""Pixel 2 Camera""|""Moment Lens""|""Pixel 2 Moment case""|""Moment Case Lens""|""Smartphone""|""2017""|""Apple""|""google pixel""|""apple iphone x""|""pixel 2 xl review""|""iphone 8""|""iphone""|""google pixel 2""|""camera""|""google pixel xl""|""pixel 2 unboxing""|""review""|""iphone x""|""pixel""|""android""|""tech""|""jonathan morrison""|""tld""",290801,10237,377
Mayo Clinic's first face transplant patient meets donor’s family,Science/Tech,"Mayo Clinic|""Health Care (Issue)""|""Healthcare Science (Field Of Study)""|""organ transplant""|""Essam and Dalal Obaid Center for Reconstructive Transplant Surgery""|""face transplant""|""plastic surgery""|""reconstructive surgery""",237307,1896,74
Google Pixelbook: $1000 of Weird!,Science/Tech,"Google Pixelbook|""Chromebook""|""Pixel""|""$1000""|""1000 dollar""|""1000""|""expensive chromebook""|""pixelbook review""|""pixelbook pen""|""chromebook pixel""|""chromebook""|""best chromebook""|""MKBHD""",1575525,52829,1524
Sphaera - demonstrating interaction,Science/Tech,[none],1827,3,0
GoPro Gets Melted by Lava and Survives,Science/Tech,"gopro|""goprohero4""|""lava""|""volcano""|""camera""",2457408,2707,200
Impossible Active Audio Noise Cancelling by Muzo,Science/Tech,"educational|""electrical""|""electroboom""|""electronics""|""engineering""|""entertainment""|""equipment""|""mehdi""|""mehdi sadaghdar""|""arc""|""mishap""|""physics""|""Sadaghdar""|""science""|""test""|""tools""|""circuit""|""funny""|""learn""|""shock""|""spark""|""protection""|""short circuit""|""Muzo""|""Noise cancelling""|""active noise cancelling""|""kickstarter""|""indiegogo""|""crowd funding""|""fake""|""project""|""amplifier""|""ambient""|""speaker""|""music""|""surface""|""actuator""",560569,29990,341
Selling My iPhone X To a Machine at Walmart,Science/Tech,"iphone x|""iphone 10""|""iphone""|""walmart""|""techsmartt""|""keaton keller""",1836419,28647,17815
Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X,Science/Tech,"iPhone X|""Face ID""|""Face ID Fooled""|""Face ID Fail""|""Face ID Test""|""Face ID Review""|""iPhone X Review""|""Facial Recognition""|""Son unlocks mom's iphone x""|""Ten-Year-Old's Face Unlocks Face ID""",390964,3687,1273
The New SpotMini,Science/Tech,"Robots|""Boston Dynamics""|""SpotMini""|""Legged Locomotion""|""Dynamic robot""",3701763,56561,2495
2 Weeks with iPhone X,Science/Tech,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",758998,19138,2272
Making Sandals with Zip-Ties and a Laser,Science/Tech,"laser cutter|""william osman""|""crappy science""|""sandals""|""flip flops""|""laser sandals""|""zip ties""|""diy""|""how to""|""make sandals""|""tap dancing""|""zip tie""|""laser""",121681,6095,61
5 Ice Cream Gadgets put to the Test,Science/Tech,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",1099318,26813,1047
HomeMade Electric Airplane,Science/Tech,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",328325,19970,104
78557 and Proth Primes - Numberphile,Science/Tech,"numberphile|""prime numbers""|""proth prime""",158173,6587,68
The Making of Hela's Headdress from Thor: Ragnarok,Science/Tech,"tested|""testedcom""|""designercon 2017""|""preview""|""toys""|""props""|""costumes""|""ironhead studio""|""marvel""|""thor""|""thor 3""|""thor ragnorok""|""thor ragnarok""|""hela""|""helmet""|""cosplay""|""headdress""|""costume""",315177,4212,171
The Super Google Pixel 2 Camera Upgrade!,Science/Tech,"Google|""Pixel 2""|""Pixel 2 XL""|""Pixel 2 Camera""|""Moment Lens""|""Pixel 2 Moment case""|""Moment Case Lens""|""Smartphone""|""2017""|""Apple""|""google pixel""|""apple iphone x""|""pixel 2 xl review""|""iphone 8""|""iphone""|""google pixel 2""|""camera""|""google pixel xl""|""pixel 2 unboxing""|""review""|""iphone x""|""pixel""|""android""|""tech""|""jonathan morrison""|""tld""",297840,10429,378
How Bkav tricked iPhone X's Face ID with a mask,Science/Tech,"bkav|""iphonex""|""iphone x""|""face id""|""faceid""|""iphone10""|""face id beaten""|""bphone2017""|""bphone""|""apple""|""Nguyen Tu Quang""|""Ngo Tuan Anh""|""Nguyễn Tử Quảng""|""Ngô Tuấn Anh""",1080230,2540,887
dapulse is now monday.com. And there's a good reason why.,Science/Tech,"dapulse|""monday.com""|""monday""|""project management""",3931,17,0
Google Pixelbook: $1000 of Weird!,Science/Tech,"Google Pixelbook|""Chromebook""|""Pixel""|""$1000""|""1000 dollar""|""1000""|""expensive chromebook""|""pixelbook review""|""pixelbook pen""|""chromebook pixel""|""chromebook""|""best chromebook""|""MKBHD""",1646057,53901,1566
Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X,Science/Tech,"iPhone X|""Face ID""|""Face ID Fooled""|""Face ID Fail""|""Face ID Test""|""Face ID Review""|""iPhone X Review""|""Facial Recognition""|""Son unlocks mom's iphone x""|""Ten-Year-Old's Face Unlocks Face ID""|""Ten-Year-Old""|""Face Unlocks""",1362421,8970,4131
Selling My iPhone X To a Machine at Walmart,Science/Tech,"iphone x|""iphone 10""|""iphone""|""walmart""|""techsmartt""|""keaton keller""",2900560,37329,34908
The New SpotMini,Science/Tech,"Robots|""Boston Dynamics""|""SpotMini""|""Legged Locomotion""|""Dynamic robot""",5531707,72727,3362
