title,video_category,tags,views,likes,dislikes
Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights,Sports,"NFL|""Football""|""offense""|""defense""|""afc""|""nfc""|""American Football""|""highlight""|""highlights""|""game""|""games""|""sport""|""sports""|""action""|""play""|""plays""|""season""|""2017""|""rookie""|""rookies""|""recap""|""run""|""sprint""|""catch""|""huge""|""amazing""|""touchdown""|""td""|""week 9""|""wk 9""|""new england""|""patriots""|""pats""|""denver""|""broncos""|""lewis""|""kickoff""|""kick return""|""return td""|""special teams""|""sp:dt=2017-11-12T20:30:00-05:00""|""sp:vl=en-US""|""sp:st=football""|""sp:li=nfl""|""sp:ti:home=Den""|""sp:ti:away=NE""|""sp:scp=athlete_in_match""|""sp:ty=high""|""nfl-lewdio""",81377,655,25
Dennis Smith Jr. and LeBron James go back and forth,Sports,[none],945,7,5
Stephon Marbury and Jimmer Fredette fight in China,Sports,"NBA|""Basketball""|""Sports""",956169,2017,2425
Heidelberg's nifty hook-and-lateral to the left tackle,Sports,"D3sports|""NCAA Division III""|""D3sports.com""|""D3football.com""|""Division III football""|""#d3fb""|""college football""|""Division III (Sports Association)""",4569,35,18
"Wildest Superstar distractions: WWE Top 10, Nov. 11, 2017",Sports,"wwe|""world wrestling entertainment""|""wrestling""|""wrestler""|""wrestle""|""superstars""|""कुश्ती""|""पहलवान""|""डब्लू डब्लू ई""|""मैच""|""सुपरस्टार""|""व्यावसायिक कुश्ती""|""مصارعه""|""WWE Top 10""|""Stone Cold Steve Austin""|""Undertaker""|""Kurt Angle""|""Kofi Kingston""|""Xavier Woods""|""Big E""|""Christian""|""Dean Ambrose""|""John Cena""|""Boogeyman""|""top 10""|""wwe distraction""|""wwe best distractions""|""wwe clips""|""wwe youtube""|""best of wwe""|""best wrestling distractions""",1044813,15397,838
JaVale McGee's Parking Lot Chronicles: Episode 3,Sports,"javale mcgee|""golden state warriors""|""kevin durant""|""oakland""|""bay area""|""san francisco""|""oracle arena""|""e40""|""e-40""|""hip hop""|""rap""|""beats""|""beats by dre""|""life goes on""|""arthur""|""renowitzky""|""klay thompson""|""minnesota timberwolves""|""nick young""|""swaggy p""",162597,5734,106
"James Harden Triple-Double 2017.11.09 vs Cavs - 35 Pts, 13 Asts, 11 Rebs, 5 Stls, 2 GOOD!",Sports,"nba|""basketball""|""dawkins""|""dawk""|""ins""|""dawkinsmta""|""Highlights""|""videos""",18573,420,10
Stephen A. Smith slams the Philadelphia 76ers for its 'Trust The Process' | First Take | ESPN,Sports,"espn|""espn live""|""first take""|""first take espn""|""espn first take""|""first take daily""|""first take today""|""nba first take""|""first take nba""|""first take stephen a smith""|""stephen a smith""|""stephen a. smith""|""stephen a smith rant""|""76ers""|""joel embiid""|""trust the process""|""stephen a smith 76ers""|""stephen a smith nba rant""|""nba""|""basketball""",470191,4037,430
"STEPH CURRY and OMRI CASSPI, postgame GSW (9-3) vs MIN: peaking?, turnovers, Casspi role",Sports,"DubNation|""Golden State Warriors""|""Golden State""|""Warriors""|""GSW""|""NBA""|""basketball""|""Stephen Curry""|""Steph Curry""|""Steph""|""Curry""|""Steve Kerr""|""Kerr""|""Coach Kerr""|""Kevin Durant""|""Durant""|""KD""|""Draymond Green""|""Draymond""|""Klay Thompson""|""Klay""|""Andre Iguodala""|""Andre""|""Iguodala""|""Zaza Pachulia""|""Zaza""|""Pachulia""|""Jordan Bell""|""Nick Young""|""Swaggy""|""Swaggy P""|""David West""|""D.West""|""Patrick McCaw""|""Pat McCaw""|""McCaw""|""McGawd""|""P-Nice""|""Minnesota Timberwolves""|""Minnesota""|""Timberwolves""",16305,147,13
Stephen A. Smith: Jay Cutler is a 'disease' | First Take | ESPN,Sports,"espn|""espn live""|""stephen a smith""|""stephen a. smith""|""jay cutler""|""first take""|""first take espn""|""espn first take""|""first take daily""|""first take nfl""|""nfl first take""|""stephen a smith jay cutler""|""jay cutler stephen a smith""|""first take jay cutler""|""miami dolphins""|""dolphins qb""|""miami qb""|""nfl""|""football""|""stephen a smith rant""",200235,1197,108
