title,video_category,tags,views,likes,dislikes
New Emirates First Class Suite | Boeing 777 | Emirates,Travel/Events,"Emirates|""First Class""",141148,1661,70
New Emirates First Class Suite | Boeing 777 | Emirates,Travel/Events,"Emirates|""First Class""",311621,2425,145
'Lightning Strike' B777-300 on departure @ KL743 // PH-BVS,Travel/Events,"Valk Aviation|""Amsterdam Airport""|""Schiphol""|""Airport""|""planes""|""aircraft""|""planespotting""|""landing""|""takeoff""|""Boeing""|""KLM""|""lightning strike""|""thunderstrike""|""B777-300""|""PH-BVS""|""spray takeoff""|""wongcondensation""|""wingvortex""|""12-11-2017""|""Bokito TV""|""KL743""",571588,386,47
'Lightning Strike' B777-300 on departure @ KL743 // PH-BVS,Travel/Events,"Valk Aviation|""Amsterdam Airport""|""Schiphol""|""Airport""|""planes""|""aircraft""|""planespotting""|""landing""|""takeoff""|""Boeing""|""KLM""|""lightning strike""|""thunderstrike""|""B777-300""|""PH-BVS""|""spray takeoff""|""wongcondensation""|""wingvortex""|""12-11-2017""|""Bokito TV""|""KL743""",1037561,716,117
New Emirates First Class Suite | Boeing 777 | Emirates,Travel/Events,"Emirates|""First Class""",403564,2581,159
Vostok Brompton Beach Ride,Travel/Events,"Vostok.bike|""Brompton Bicycle""|""Brompton Alfine""|""Vostok Titanium Components""",1118,6,0
New Emirates First Class Suite | Boeing 777 | Emirates,Travel/Events,"Emirates|""First Class""",442407,2742,172
Vostok Brompton Beach Ride,Travel/Events,"Vostok.bike|""Brompton Bicycle""|""Brompton Alfine""|""Vostok Titanium Components""",1204,7,0
New Emirates First Class Suite | Boeing 777 | Emirates,Travel/Events,"Emirates|""First Class""",472936,2867,185
Inside The World's Only Private Boeing 787 Dreamliner!,Travel/Events,"Boeing787|""Sam Chui""|""B787""|""Private Jet""|""Business Jet""|""Deer Air""|""Luxury Travel""|""UAS""|""Dubai Air Show""",1126715,12919,1188
The Horrors of Flavored Water,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""Water""|""Japanese Water""|""Flavored Water""",224651,10504,300
Inside The World's Only Private Boeing 787 Dreamliner!,Travel/Events,"Boeing787|""Sam Chui""|""B787""|""Private Jet""|""Business Jet""|""Deer Air""|""Luxury Travel""|""UAS""|""Dubai Air Show""",1612283,15930,1567
The Horrors of Flavored Water,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""Water""|""Japanese Water""|""Flavored Water""",241456,10950,335
Inside The World's Only Private Boeing 787 Dreamliner!,Travel/Events,"Boeing787|""Sam Chui""|""B787""|""Private Jet""|""Business Jet""|""Deer Air""|""Luxury Travel""|""UAS""|""Dubai Air Show""",1932429,17001,1701
The Horrors of Flavored Water,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""Water""|""Japanese Water""|""Flavored Water""",249099,11180,342
Inside The World's Only Private Boeing 787 Dreamliner!,Travel/Events,"Boeing787|""Sam Chui""|""B787""|""Private Jet""|""Business Jet""|""Deer Air""|""Luxury Travel""|""UAS""|""Dubai Air Show""",2200529,17822,1819
The Horrors of Flavored Water,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""Water""|""Japanese Water""|""Flavored Water""",254432,11319,348
Inside The World's Only Private Boeing 787 Dreamliner!,Travel/Events,"Boeing787|""Sam Chui""|""B787""|""Private Jet""|""Business Jet""|""Deer Air""|""Luxury Travel""|""UAS""|""Dubai Air Show""",2374145,18613,1907
The Horrors of Flavored Water,Travel/Events,"simonandmartina|""simon""|""martina""|""simon and martina""|""Tokyo""|""Japan""|""eatyourkimchi""|""eat your kimchi""|""eat your sushi""|""eatyoursushi""|""Water""|""Japanese Water""|""Flavored Water""",260171,11481,353
Inside The World's Only Private Boeing 787 Dreamliner!,Travel/Events,"Boeing787|""Sam Chui""|""B787""|""Private Jet""|""Business Jet""|""Deer Air""|""Luxury Travel""|""UAS""|""Dubai Air Show""",2533102,19731,2011
